Task,Testing Accuracy,Training Accuracy,Validation Accuracy
1,0.983,1.0,0.98
2,0.853,0.994444444444,0.8
3,0.705,0.951111111111,0.76
4,0.776,0.894444444444,0.8
5,0.796,0.973333333333,0.82
6,0.876,0.99,0.88
7,0.823,0.964444444444,0.89
8,0.89,0.987777777778,0.91
9,0.779,0.887777777778,0.76
10,0.617,0.831111111111,0.56
11,0.87,0.975555555556,0.82
12,0.96,0.998888888889,0.94
13,0.905,0.946666666667,0.88
14,0.854,1.0,0.88
15,0.52,0.664444444444,0.41
16,0.448,0.66,0.44
17,0.553,0.715555555556,0.64
18,0.901,0.925555555556,0.93
19,0.117,0.267777777778,0.13
20,1.0,1.0,1.0
